"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu May 02 09:33:46 GMT 2024","Thu May 02 09:33:49 GMT 2024","2270","","","","ActionsTest","CheckActionsTest","CheckActionsTest",""
"passed","Thu May 02 09:34:11 GMT 2024","Thu May 02 09:34:11 GMT 2024","672","","","","LoginTest","LoginWithoutPasswordTest","LoginWithoutPasswordTest",""
"passed","Thu May 02 09:34:11 GMT 2024","Thu May 02 09:34:15 GMT 2024","3638","","","","LoginTest","LoginWithoutUserNameTest","LoginWithoutUserNameTest",""
"broken","Thu May 02 09:33:49 GMT 2024","Thu May 02 09:33:59 GMT 2024","10426","","","","CartTest","BackToProducts","BackToProducts",""
"broken","Thu May 02 09:34:36 GMT 2024","Thu May 02 09:34:46 GMT 2024","10375","","","","ProductsTest","DisplayProductDetailsByLabel","DisplayProductDetailsByLabel",""
"passed","Thu May 02 09:34:09 GMT 2024","Thu May 02 09:34:11 GMT 2024","1311","","","","LoginTest","LoginPositiveTest","LoginPositiveTest","This test checks positive and negative cases for logining"
"passed","Thu May 02 09:34:47 GMT 2024","Thu May 02 09:34:47 GMT 2024","548","","","","WindowsPageTest","CheckOpenNewWindowTest","CheckOpenNewWindowTest",""
"broken","Thu May 02 09:34:15 GMT 2024","Thu May 02 09:34:25 GMT 2024","10336","","","","ProductsTest","AddToCartFirstItem","AddToCartFirstItem",""
"broken","Thu May 02 09:33:59 GMT 2024","Thu May 02 09:34:09 GMT 2024","10356","","","","CartTest","GoToCheckout","GoToCheckout",""
"broken","Thu May 02 09:34:25 GMT 2024","Thu May 02 09:34:36 GMT 2024","10340","","","","ProductsTest","DisplayProductDetailsByImg","DisplayProductDetailsByImg",""
"passed","Thu May 02 09:34:46 GMT 2024","Thu May 02 09:34:47 GMT 2024","601","","","","UploadFileTest","CheckUploadFileTest","CheckUploadFileTest",""
